banking_id,banked_total,banking_total,banking_date,banking_time_indicator,reconcile_status,restaurant_id,sealed_by
1,759.06,811.24,2024-01-01,EOD,Reconciled,1,Tyler Stone
2,771.8,950.3600000000005,2024-01-02,EOD,Reconciled,1,Amanda Jimenez
3,1447.42,1640.700000000001,2024-01-03,EOD,Reconciled,1,James Brown
4,381.69,1171.33,2024-01-04,EOD,Reconciled,1,Adam Hurst
5,1044.88,1697.86,2024-01-05,EOD,Reconciled,1,Stacy Jones
6,414.03,431.5999999999999,2024-01-06,EOD,Reconciled,1,Joe Johnston
7,26.38,177.7700000000006,2024-01-07,EOD,Reconciled,1,Derrick Kemp
8,558.2,1220.520000000001,2024-01-08,EOD,Reconciled,1,Reginald Ferguson
9,437.39,1332.130000000001,2024-01-09,EOD,Reconciled,1,Bianca Kemp MD
10,102.05,126.3900000000007,2024-01-10,EOD,Reconciled,1,Wendy Rose
11,10.0,-333.7799999999993,2024-01-11,EOD,Reconciled,1,Donald Johnston
12,372.04,374.5800000000006,2024-01-12,EOD,Reconciled,1,Keith Harrison
13,136.33,200.8000000000004,2024-01-13,EOD,Reconciled,1,Cindy Lopez
14,10.0,-88.89000000000001,2024-01-14,EOD,Reconciled,1,Brandon Galloway
15,240.6,281.7500000000001,2024-01-15,EOD,Reconciled,1,Dennis Jacobs
16,76.25,366.2999999999997,2024-01-16,EOD,Reconciled,1,Charles Frederick
17,1611.51,1706.65,2024-01-17,EOD,Reconciled,1,Johnny Diaz
18,10.0,-56.25000000000026,2024-01-18,EOD,Reconciled,1,Amy Turner
19,10.0,-144.9300000000007,2024-01-19,EOD,Reconciled,1,Jacob Carroll
20,412.93,734.0999999999993,2024-01-20,EOD,Reconciled,1,Miranda Newman
21,115.52,1082.289999999999,2024-01-21,EOD,Reconciled,1,Wendy Greene
22,355.05,1177.07,2024-01-22,EOD,Reconciled,1,Emma Keith
23,909.15,1491.3,2024-01-23,EOD,Reconciled,1,Darryl Thomas
24,629.64,886.9200000000004,2024-01-24,EOD,Reconciled,1,Michael Adams
25,164.87,1003.52,2024-01-25,EOD,Reconciled,1,Julie Berry
26,20.76,1849.140000000001,2024-01-26,EOD,Reconciled,1,Joseph Lewis
27,650.82,3172.760000000001,2024-01-27,EOD,Reconciled,1,Mrs. Stephanie Taylor
28,3370.92,3749.2,2024-01-28,EOD,Reconciled,1,Jessica Diaz
29,10.0,-911.7500000000003,2024-01-29,EOD,Reconciled,1,Michelle Joyce
30,10.0,-1093.120000000001,2024-01-30,EOD,Reconciled,1,Eric Ashley
31,10.0,-281.5300000000005,2024-01-31,EOD,Reconciled,1,Diana Lee MD
32,10.0,-1193.77,2024-02-01,EOD,Reconciled,1,Mark Nunez
33,10.0,-893.6900000000004,2024-02-02,EOD,Reconciled,1,Thomas Henry
34,112.72,327.8499999999997,2024-02-03,EOD,Reconciled,1,Tracy Brown
35,801.9,1154.98,2024-02-04,EOD,Reconciled,1,David Barton
36,847.52,1952.889999999999,2024-02-05,EOD,Reconciled,1,Emily Smith
37,1130.94,1636.54,2024-02-06,EOD,Reconciled,1,Joseph Taylor
38,1682.28,1909.839999999999,2024-02-07,EOD,Reconciled,1,Scott Rogers
39,731.18,1615.87,2024-02-08,EOD,Reconciled,1,Betty Martinez
40,1655.3,2346.54,2024-02-09,EOD,Reconciled,1,Brian Skinner
41,37.06,504.5999999999999,2024-02-10,EOD,Reconciled,1,Don May
42,453.63,1028.0,2024-02-11,EOD,Reconciled,1,Robin Long
43,202.93,246.96,2024-02-12,EOD,Reconciled,1,Adrienne Robertson MD
44,403.01,435.7300000000007,2024-02-13,EOD,Reconciled,1,Harry Rodriguez
45,177.75,647.2800000000004,2024-02-14,EOD,Reconciled,1,Robert Johnson
46,214.91,1191.86,2024-02-15,EOD,Reconciled,1,Logan Harris
47,549.42,2042.88,2024-02-16,EOD,Reconciled,1,Jeffrey Williams
48,471.64,1633.93,2024-02-17,EOD,Reconciled,1,Gina Cameron
49,716.55,922.4700000000003,2024-02-18,EOD,Reconciled,1,Pedro Brooks
50,740.76,978.8199999999997,2024-02-19,EOD,Reconciled,1,Latoya Harmon
51,420.05,1246.789999999999,2024-02-20,EOD,Reconciled,1,Gary Dunn
52,105.92,1003.399999999999,2024-02-21,EOD,Reconciled,1,Charles Hernandez
53,494.95,936.1699999999993,2024-02-22,EOD,Reconciled,1,Deborah Lewis
54,84.79,417.5499999999996,2024-02-23,EOD,Reconciled,1,Kristi Fox
55,93.4,294.5999999999995,2024-02-24,EOD,Reconciled,1,Matthew Burton
56,167.95,663.9699999999991,2024-02-25,EOD,Reconciled,1,James Gray
57,403.94,1874.969999999999,2024-02-26,EOD,Reconciled,1,Cathy Gallagher
58,1541.71,2181.11,2024-02-27,EOD,Reconciled,1,Leslie Flynn
59,138.78,995.17,2024-02-28,EOD,Reconciled,1,Nancy Duke
60,17.73,662.7999999999995,2024-02-29,EOD,Reconciled,1,Jody Vasquez
61,511.65,1778.4,2024-03-01,EOD,Reconciled,1,Albert Walsh
62,379.06,1413.699999999999,2024-03-02,EOD,Reconciled,1,Valerie Walker
63,263.46,1670.419999999999,2024-03-03,EOD,Reconciled,1,Eddie Hinton
64,1126.54,1586.909999999999,2024-03-04,EOD,Reconciled,1,Tyler Sanders
65,784.48,1074.909999999999,2024-03-05,EOD,Reconciled,1,Jennifer Brock
66,301.89,1157.879999999999,2024-03-06,EOD,Reconciled,1,Karen Tucker
67,749.49,1737.919999999998,2024-03-07,EOD,Reconciled,1,Phillip Welch
68,318.34,2006.359999999999,2024-03-08,EOD,Reconciled,1,James Crawford
69,855.36,2099.229999999998,2024-03-09,EOD,Reconciled,1,Susan Sanders
70,329.75,1529.729999999998,2024-03-10,EOD,Reconciled,1,Manuel Singh
71,280.58,2420.549999999998,2024-03-11,EOD,Reconciled,1,Jennifer Thompson
72,656.55,3219.049999999998,2024-03-12,EOD,Reconciled,1,Katherine Hutchinson
73,1846.69,3295.219999999998,2024-03-13,EOD,Reconciled,1,Debra Freeman
74,242.39,255.3499999999968,2024-03-14,EOD,Reconciled,1,Frank Moore
75,690.08,1448.129999999997,2024-03-15,EOD,Reconciled,1,Jennifer Perez
76,425.13,1237.749999999997,2024-03-16,EOD,Reconciled,1,Kelly Harris
77,263.9,1102.029999999997,2024-03-17,EOD,Reconciled,1,Steven Reid
78,767.98,1741.079999999997,2024-03-18,EOD,Reconciled,1,Robert Brown II
79,1345.61,2699.379999999996,2024-03-19,EOD,Reconciled,1,Stephen Li
80,902.99,2023.709999999997,2024-03-20,EOD,Reconciled,1,Brett Robinson
81,2310.73,2621.509999999997,2024-03-21,EOD,Reconciled,1,Ricardo Wright
82,1411.63,1487.659999999998,2024-03-22,EOD,Reconciled,1,Lauren Bryant
83,32.4,121.3099999999975,2024-03-23,EOD,Reconciled,1,Maria Baker
84,1275.39,1373.069999999998,2024-03-24,EOD,Reconciled,1,Mr. Derek Oliver
85,10.0,-279.1800000000023,2024-03-25,EOD,Reconciled,1,Randall Powell
86,10.0,-1281.310000000002,2024-03-26,EOD,Reconciled,1,Marcus Reynolds
87,10.0,-546.9600000000021,2024-03-27,EOD,Reconciled,1,Cynthia Hoffman
88,10.0,-284.9400000000022,2024-03-28,EOD,Reconciled,1,Shelby Williams
89,190.57,612.1199999999973,2024-03-29,EOD,Reconciled,1,Craig David
90,313.83,1147.479999999998,2024-03-30,EOD,Reconciled,1,Christopher Lawson
91,705.46,1087.439999999998,2024-03-31,EOD,Reconciled,1,Mrs. Samantha Paul
92,1899.15,2496.029999999998,2024-04-01,EOD,Reconciled,1,Carrie Robertson
93,149.77,307.559999999998,2024-04-02,EOD,Reconciled,1,Brooke Gay
94,794.22,887.989999999998,2024-04-03,EOD,Reconciled,1,Russell Beard
95,734.97,1564.789999999998,2024-04-04,EOD,Reconciled,1,Gabrielle Morris
96,72.55,109.9099999999985,2024-04-05,EOD,Reconciled,1,Caitlin Cunningham
97,356.0,903.5499999999985,2024-04-06,EOD,Reconciled,1,Jack Guzman
