user_id,first_name,last_name,email,phone,address,date_of_birth,is_active,role_id,department_id,restaurant_id,client_id,subscription_id
1,Jennifer,Sanchez,trevor15@example.org,(398)622-8988x7130,"408 Cross Ridges
Hicksshire, GU 98194",1967-11-05,True,1,2,17,13,3
2,Rebecca,Ray,ramseymichael@example.com,864.586.5018,"440 Odom Avenue
North Randybury, AK 36839",1986-12-05,True,1,5,24,26,1
3,Curtis,Collins,dchang@example.org,(523)812-7139,"1579 Kimberly Fields Suite 762
Kyleview, FL 50635",1981-04-01,True,2,5,2,27,4
4,Teresa,Snyder,jose00@example.org,908.939.2425,"Unit 8646 Box 0324
DPO AP 76988",1976-01-15,True,1,4,11,18,4
5,Melanie,Smith,lmanning@example.net,261-682-0432x890,"440 Megan Track Apt. 031
Robertton, FM 19874",1984-07-08,True,5,4,45,21,4
6,Sergio,Chase,glennhoward@example.net,+1-458-407-1238,"USS Greer
FPO AE 27541",2003-02-02,True,1,4,7,10,4
7,Joshua,Swanson,chadfrederick@example.org,7294438129,"17907 Young Ramp Suite 362
New Matthewberg, NC 73123",1992-10-17,True,5,1,47,14,1
8,Jeffrey,King,hallshane@example.net,(435)823-2917x319,"90948 Angela Turnpike
Marvinfort, GA 06690",2002-08-30,True,5,9,5,22,4
9,Kelsey,Williams,friddle@example.com,2528487986,"362 Hernandez Freeway Apt. 280
Rayview, MT 10250",1968-12-10,True,3,3,13,28,1
10,Scott,Pham,mckaychristopher@example.net,(244)465-0679,"02873 Brown Manor Suite 064
North Richard, MA 65317",1980-04-15,True,1,9,27,24,1
11,Christopher,Bass,jodiyork@example.com,001-558-972-5657,"8133 James Island
Longfurt, WY 59055",1974-01-10,True,1,8,14,3,1
12,Jared,Phillips,ywright@example.com,+1-675-735-7222x06226,"238 Angela Branch
Lake Lori, MA 03272",1965-01-19,True,2,9,39,23,1
13,Justin,Ford,murphycarlos@example.com,4042515713,"828 David Turnpike Apt. 908
Andersonberg, KS 73121",1996-03-14,True,1,7,7,10,1
14,William,Wright,wandafranklin@example.com,001-960-507-9333x8296,"465 Jorge Lake
Mitchellport, FM 59574",1977-04-24,True,1,7,3,28,4
15,Patrick,Curry,susan99@example.net,+1-370-597-0493,"02104 Christopher Causeway Suite 593
Andersonhaven, MT 86232",1975-10-09,True,2,9,19,10,4
16,Alexis,White,zmoran@example.org,662.509.9778,"830 Stewart Road Apt. 413
New Travisstad, WV 47102",1971-05-02,True,5,8,43,14,4
17,Sharon,Mccarty,cchen@example.com,225.409.6683x6146,"2049 Joseph Gardens
South Lisaside, DC 40737",2001-03-28,True,1,8,15,6,1
18,Denise,Donaldson,sreed@example.com,4184660336,"107 Wright Forges
Wrighthaven, OK 30561",1962-07-20,True,5,7,46,5,1
19,Michelle,Scott,mrodriguez@example.com,(284)723-8962x0569,"152 Brianna Corners Suite 506
West Theresa, NC 56918",1968-08-11,True,5,4,8,6,1
20,Nicole,Mejia,ssimpson@example.net,646.482.5465x3398,"546 Alexander Isle
East Daniel, LA 91718",1990-08-09,True,5,6,22,3,4
21,Ryan,Brown,jenniferhansen@example.net,(258)512-8962,"0163 Felicia Estate Suite 872
Nataliehaven, AK 54054",1978-11-01,True,2,7,9,6,1
